NOM_MUSEO,General,Preferencial,<18 años
Zona Arqueologica Monumental Kuelap,30.0,15.0,2.0
Zona Arqueologica Monumental Chavin de Huantar,15.0,7.0,4.0
Sitio Arqueologico Pañamarca,4.0,3.0,2.0
Sitio Arqueologico Saihuite,10.0,5.0,1.0
Complejo Arqueologico Toro Muerto,7.0,3.0,2.0
Complejo Arqueologico de Uyo Uyo,5.0,2.0,1.0
Sitio Arqueologico Intihuatana,6.0,3.0,1.0
Paisaje Cultural Arqueologico Cumbemayo,5.0,2.0,1.0
Centro Arqueologico Ventanilla de Otuzco,5.0,2.0,1.0
Monumento Arqueologico Kuntur Wasi,5.0,2.0,1.0
Parque Arqueologico Macchu Picchu (Ruta 1: Camino Inka: Piscacucho Km. 82),64.0,32.0,32.0
Parque Arqueologico Macchu Picchu (Ruta 2: Camino Inka: Km. 88),64.0,32.0,32.0
Parque Arqueologico Macchu Picchu (Ruta 5: Camino Iinka: Chanchabamba Km. 104),64.0,32.0,32.0
Monumento Arqueologico de Raqchi,20.0,10.0,8.0
Monumento Arqueologico de Moray,70.0,40.0,40.0
Parque Arqueologico Tipon,40.0,22.0,22.0
Monumento Arqueologico de Tarawasi,10.0,10.0,5.0
Parque Arqueologico Nacional de Vilcabamba (Choquequirao),60.0,30.0,25.0
Conjunto Arqueologico de Huchuy Qosco,60.0,30.0,25.0
Parque Arqueologico Machu Picchu,64.0,32.0,32.0
Santuario Historico de Machu Picchu,64.0,32.0,32.0
Zona Arqueologica Monumental de Garu,5.0,2.0,1.0
Huanucopampa,3.5,1.5,1.0
Sitio Arqueologico Pampas de Huayuri,3.0,2.0,1.0
Monumento Arqueologico de Palpa (Lineas y Geoglifos de Sacramento),3.0,2.0,1.0
Complejo Arqueologico Chan Chan (Palacio Nik-An),10.0,5.0,1.0
Zona Arqueologica Monumental Huaca del Sol y de La Luna,4.0,1.0,0.5
Zona Arqueologica Monumental El Brujo,10.0,5.0,1.0
Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon),10.0,5.0,5.0
Sitio Arqueologico Caral,11.0,4.0,1.0
Bosques de Piedra de Huallay,2.0,2.0,2.0
Circuito de Museo Bolivar Periodista,2.0,1.0,0.5
Monumento Arqueologico de Cutimbo,15.0,5.0,2.0
Sitio Arqueologico de Sillustani,15.0,5.0,2.0
Zona Arqueologica Monumental Cabeza de Vaca,4.0,1.0,0.5
Conjunto Arqueologico de Huchuy Qosco-Ingreso Leonpunko,7.0,4.0,3.0
Ingreso A Soraypampa-Zona de Amortiguamiento de Machu Pichu,55.0,30.0,15.0
Parque Arqueologico Macchu Picchu (Ingreso Salkantay-Paucarcancha),3.0,2.0,1.0
Sitio Arqueologico Centinela,3.0,2.0,1.0
Reserva Arqueologica Lineas y Geoglifos de Nazca,4.0,2.0,1.0
Sitio Arqueologico de Cerro Baul,4.0,1.0,0.5
Monumento Arqueologico Prehispanico Cajamarquilla,5.0,2.0,1.0
Monumento Arqueologico Prehispanico Huaycan de Pariachi,5.0,2.0,1.0
Monumento Arqueologico Prehispanico San Juan de Pariachi,5.0,2.0,1.0
Complejo Arqueologico de Huarautambo,4.0,2.0,1.0
Zona Arqueologica de Huaycan de Cieneguilla,4.0,2.0,1.0
Sitio Arqueologico Cerro Ventarron,4.0,2.0,0.0
Complejo Arqueologico Mateo Salado,15.0,5.0,5.0
