FECHA_CORTE,ANIO,COD_DPTO,NOM_DPTO,NOM_MUSEO,COD_MES,NOM_MES,COD_TIPO,ADU_BOLESPPAGANTES,EST_BOLESPPAGANTES,NIN_BOLESPPAGANTES,MIL_BOLESPPAGANTES,ADM_BOLESPPAGANTES,ADU_PAGANTES,EST_PAGANTES,NIN_PAGANTES,TOTAL_PAGANTES,ADU_BOLESPNOPAGANTES,EST_BOLESPNOPAGANTES,NIN_BOLESPNOPAGANTES,MIL_BOLESPNOPAGANTES,ADM_BOLESPNOPAGANTES,ADU_NOPAGANTES,EST_NOPAGANTES,NIN_NOPAGANTES,TOTAL_NOPAGANTES,TOTAL,TIPO_cat_cod
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,1,Enero,0,0,0,0,147,442,3492,975,1137,6193,0,0,0,24,47,291,132,84,578,6771,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,1,Enero,1,0,0,0,0,0,38,0,4,42,0,0,0,0,0,0,0,0,0,42,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,1,Enero,2,0,0,0,147,442,3530,975,1141,6235,0,0,0,24,47,291,132,84,578,6813,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,2,Febrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,2,Febrero,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,2,Febrero,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,3,Marzo,0,0,0,0,11,48,390,115,76,640,0,0,0,0,0,0,0,0,0,640,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,3,Marzo,1,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,12,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,3,Marzo,2,0,0,0,11,48,402,115,76,652,0,0,0,0,0,0,0,0,0,652,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,4,Abril,0,0,0,0,46,76,717,115,61,1015,0,0,0,0,0,0,0,0,0,1015,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,4,Abril,1,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,32,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,4,Abril,2,0,0,0,46,76,749,115,61,1047,0,0,0,0,0,0,0,0,0,1047,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,5,Mayo,0,0,0,0,85,191,1369,292,297,2234,0,0,0,4,6,47,12,10,79,2313,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,5,Mayo,1,0,0,0,0,0,75,0,5,80,0,0,0,0,0,0,0,0,0,80,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,5,Mayo,2,0,0,0,85,191,1444,292,302,2314,0,0,0,4,6,47,12,10,79,2393,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,6,Junio,0,0,0,0,108,196,2081,430,438,3253,0,0,0,0,0,0,0,0,0,3253,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,6,Junio,1,0,0,0,0,0,63,5,6,74,0,0,0,0,0,0,0,0,0,74,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,6,Junio,2,0,0,0,108,196,2144,435,444,3327,0,0,0,0,0,0,0,0,0,3327,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,7,Julio,0,0,0,0,216,654,5765,1498,1927,10060,0,0,0,7,16,188,31,21,263,10323,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,7,Julio,1,0,0,0,0,0,142,2,10,154,0,0,0,0,0,0,0,0,0,154,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,7,Julio,2,0,0,0,216,654,5907,1500,1937,10214,0,0,0,7,16,188,31,21,263,10477,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,8,Agosto,0,0,0,0,271,864,5821,1712,1745,10413,0,0,0,0,0,0,0,0,0,10413,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,8,Agosto,1,0,0,0,0,0,138,1,0,139,0,0,0,0,0,0,0,0,0,139,Sitio Arqueológico
20240315,2021,1,Amazonas,Zona Arqueologica Monumental Kuelap,8,Agosto,2,0,0,0,271,864,5959,1713,1745,10552,0,0,0,0,0,0,0,0,0,10552,Sitio Arqueológico
